Vendor Name	ENFOUR, INC.
Start Date	09/29/2024
End Date	11/02/2024
Transaction Date	Settlement Date	Apple Identifier	SKU	Title	Developer Name	Product Type Identifier	Country of Sale	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Customer Price	Customer Currency	Sale or Return	Promo Code	Order Type	Region
10/06/2024	10/06/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	F1	IN	1	359.45	359.45	INR	499.000	INR	S				
10/21/2024	10/21/2024	304875834	AH_Deluxe	American Heritage® Deluxe	Enfour, Inc.	1F	IN	1	1295.89	1295.89	INR	1799.000	INR	S				
10/31/2024	11/01/2024	394337484	OX_ODE	Oxford Dictionary of English.	Enfour, Inc.	1F	IN	1	1079.79	1079.79	INR	1499.000	INR	S				
10/24/2024	10/24/2024	394337484	OX_ODE	Oxford Dictionary of English.	Enfour, Inc.	1F	IN	1	1079.79	1079.79	INR	1499.000	INR	S				
10/19/2024	10/19/2024	394337484	OX_ODE	Oxford Dictionary of English.	Enfour, Inc.	1F	IN	1	1079.79	1079.79	INR	1499.000	INR	S				
10/31/2024	10/31/2024	475665993	jp.co.enfour.ahd5.ahd5dict	AHD5 InApp activation - Activates the AHD5 dictionary		IA1	IN	1	1079.79	1079.79	INR	1499.000	INR	S				
10/22/2024	10/23/2024	307233030	OX_ODE_DELUXE	Oxford Deluxe (ODE and OTE)	Enfour, Inc.	1F	IT	1	13.87	13.87	EUR	19.990	EUR	S				
10/25/2024	10/26/2024	307233030	OX_ODE_DELUXE	Oxford Deluxe (ODE and OTE)	Enfour, Inc.	1F	IT	1	13.87	13.87	EUR	19.990	EUR	S				
10/27/2024	10/27/2024	317804594	N4_UD_SYN	Companion Synonyms	Enfour, Inc.	F1	IT	1	1.38	1.38	EUR	1.990	EUR	S				
10/23/2024	10/23/2024	394337484	OX_ODE	Oxford Dictionary of English.	Enfour, Inc.	1F	IT	1	12.48	12.48	EUR	17.990	EUR	S				
